titre,prix,surface,pieces,adresse,type_bien,prix au m²
4 chambres appartement de 85m² à Toulon,1100,85,4,"Toulon, Var, France",appartement,13
3 chambres appartement de 57m² à Toulon,986,57,3,"15 Fleurs des Champs, 83100 Toulon, France",appartement,17
1 chambre de 26m² à Toulon,410,26,1,"135 Boulevard Leon Bourgeois, 83100 Toulon, France",chambre,16
2 chambres maison de 82m² à Toulon,1872,82,2,"2 Rue Jean de Chaumont, 83000 Toulon, France",maison,23
1 chambre appartement de 34m² à Toulon,602,34,1,"Toulon, Var, France",appartement,18
2 chambres appartement de 43m² à Toulon,820,43,2,"Toulon, Var, France",appartement,19
1 chambre appartement de 26m² à Toulon,550,26,1,"B1 Boulevard Docteur Charles Barnier, 12345 Toulon, France",appartement,21
1 chambre appartement de 15m² à Toulon,465,15,1,"18 Chemin de la Loubiere, 83000 Toulon, France",appartement,31
1 chambre studio de 20m² à Toulon,590,20,1,"Toulon, Var, France",studio,30
6 chambres appartement de 158m² à Toulon,1600,158,6,"49 Rue Henri Poincare, 83000 Toulon, France",appartement,10
2 chambres appartement de 40m² à Toulon,721,40,2,"63 Rue Pierre Devoluy, 83000 Toulon, France",appartement,18
4 chambres appartement de 78m² à Toulon,1040,78,4,"Toulon, Var, France",appartement,13
2 chambres appartement de 49m² à Toulon,750,49,2,"233 Quai Riviere Neuve, 83200 Toulon, France",appartement,15
4 chambres maison de 103m² à Toulon,2190,103,4,"52 Rue de l’Iseran, 83000 Toulon, France",maison,21
4 chambres appartement de 82m² à Toulon,1600,82,4,"9 Rue Diane, 83000 Toulon, France",appartement,20
2 chambres appartement de 49m² à Toulon,730,49,2,"Toulon, Var, France",appartement,15
2 chambres appartement de 52m² à Toulon,715,52,2,"167 Rue Jean Jaures, 83000 Toulon, France",appartement,14
2 chambres appartement de 32m² à Toulon,538,32,2,"254 Avenue Rageot de la Touche, 83000 Toulon, France",appartement,17
5 chambres maison de 120m² à Toulon,1650,120,5,"Toulon, Var, France",maison,14
2 chambres appartement de 44m² à Toulon,750,44,2,"Toulon, Var, France",appartement,17
2 chambres appartement de 40m² à Toulon,608,40,2,"Toulon, Var, France",appartement,15
2 chambres appartement de 56m² à Toulon,950,56,2,"Toulon, Var, France",appartement,17
1 chambre studio de 25m² à Toulon,484,25,1,"Toulon, Var, France",studio,19
3 chambres appartement de 75m² à Toulon,1050,75,3,"Toulon, Var, France",appartement,14
1 chambre de 25m² à Toulon,400,25,1,"141 Avenue François Cuzin, 83000 Toulon, France",chambre,16
1 chambre de 26m² à Toulon,410,26,1,"135 Boulevard Leon Bourgeois, 83100 Toulon, France",chambre,16
1 chambre appartement de 27m² à Toulon,700,27,1,"Toulon, Var, France",appartement,26
2 chambres appartement de 37m² à Toulon,690,37,2,"Toulon, Var, France",appartement,19
3 chambres appartement de 62m² à Toulon,990,62,3,"300d Chemin de la Colline, 83200 Toulon, France",appartement,16
2 chambres appartement de 54m² à Toulon,690,54,2,"Toulon, Var, France",appartement,13
2 chambres appartement de 32m² à Toulon,595,32,2,"9 Rue des Cottages Fleuris, 83000 Toulon, France",appartement,19
4 chambres appartement de 137m² à Toulon,3585,137,4,"97 Avenue Jean Moulin, 83000 Toulon, France",appartement,26
2 chambres appartement de 42m² à Toulon,785,42,2,"9 Rue des Cottages Fleuris, 83000 Toulon, France",appartement,19
4 chambres appartement de 80m² à Toulon,1250,80,4,"Toulon, Var, France",appartement,16
1 chambre studio de 33m² à Toulon,620,33,1,"Toulon, Var, France",studio,19
3 chambres appartement de 53m² à Toulon,790,53,3,"Rue Anatole France, 83800 Toulon, France",appartement,15
2 chambres appartement de 48m² à Toulon,667,48,2,"Toulon, Var, France",appartement,14
4 chambres maison de 81m² à Toulon,1630,81,4,"Toulon, Var, France",maison,20
1 chambre appartement de 26m² à Brest,480,26,1,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,18
1 chambre appartement de 10m² à Brest,320,10,1,"Brest, Finistère, France",appartement,32
7 chambres appartement de 150m² à Brest,500,150,7,"29200 Brest, France",appartement,3
3 chambres appartement de 63m² à Brest,700,63,3,"29200 Brest, France",appartement,11
2 chambres appartement de 25m² à Brest,800,25,2,"29200 Brest, France",appartement,32
1 chambre appartement de 11m² à Brest,400,11,1,"29200 Brest, France",appartement,36
3 chambres maison de 85m² à Brest,940,85,3,"7 Rue Jacques Offenbach, 29200 Treornou, France",maison,11
5 chambres appartement de 80m² à Brest,395,80,5,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,5
4 chambres appartement de 88m² à Brest,890,88,4,"29200 Brest, France",appartement,10
4 chambres appartement de 82m² à Brest,847,82,4,"16 Rue Sébastopol, 29200 Brest, France",appartement,10
2 chambres appartement de 65m² à Brest,580,65,2,"Rue de la France Combattante, 29200 Brest, France",appartement,9
2 chambres appartement de 33m² à Brest,600,33,2,"29200 Brest, France",appartement,18
1 chambre appartement de 30m² à Brest,590,30,1,"Brest, Finistère, France",appartement,20
3 chambres appartement de 73m² à Brest,890,73,3,"Brest, Finistère, France",appartement,12
3 chambres appartement de 53m² à Brest,690,53,3,"29200 Brest, France",appartement,13
1 chambre appartement de 43m² à Brest,480,43,1,"Brest, Finistère, France",appartement,11
5 chambres appartement de 78m² à Brest,450,78,5,"29200 Brest, France",appartement,6
1 chambre de 29m² à Brest,350,29,1,"Rue du Périgord, 29200 Brest, France",chambre,12
4 chambres appartement de 91m² à Brest,390,91,4,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,4
1 chambre appartement de 12m² à Brest,385,12,1,"29200 Brest, France",appartement,32
3 chambres appartement de 68m² à Brest,780,68,3,"29200 Brest, France",appartement,11
3 chambres appartement de 50m² à Brest,750,50,3,"29200 Brest, France",appartement,15
4 chambres appartement de 94m² à Brest,1470,94,4,"Brest, Finistère, France",appartement,16
3 chambres appartement de 71m² à Brest,896,71,3,"53 Rue de Prat Podic, 29200 Brest, France",appartement,13
5 chambres maison de 108m² à Brest,1300,108,5,"Brest, Finistère, France",maison,12
2 chambres appartement de 51m² à Brest,730,51,2,"29200 Brest, France",appartement,14
5 chambres appartement de 78m² à Brest,400,78,5,"29200 Brest, France",appartement,5
3 chambres maison de 90m² à Brest,900,90,3,"16 place de la Liberté, 29200 Brest, France",maison,10
2 chambres appartement de 55m² à Brest,790,55,2,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,14
7 chambres appartement de 10m² à Brest,430,10,7,"Brest, Finistère, France",appartement,43
